author,comment,likes,published_at
@ferryirwandi,"hallo warga sipil sekalian tonton sampe habis ya

berikut video profilenya 

https://youtu.be/dh2SxFbSEQ0?si=NC8Z834niYftrp8o",1914,2026-03-30T08:36:49Z
@TiaraSalsabila-s2e,Geregetan dengarnya....😮,0,2026-05-24T11:39:11Z
@DewaNagari-g2w,"Kembali ke UUD 1945 yang asli,ekonomi PANCASILA,demokrasi PANCASILA",0,2026-05-18T07:08:47Z
@helenarachelleiwakabessy5328,sudah tidak benar aparat aparat yang bertanggung jawab terkait penerapan hukum dinegara paling terkutuk ini ..😡😡😡,0,2026-05-16T05:42:03Z
@senencellcomro734,beginilah nasib warga sipil.. stelah yg saya dan rekan2 alami.. dri mulai saat itu kita udah gak respect lagi sama APH apalgi yang berbju  coklat..,0,2026-05-15T12:47:22Z
@senencellcomro734,"kasus korupsi  yang terkait politik cepet karna ada dorongan dari elit.. beda halnya dg kasus korupsi yang melibatkan pejabat.. di tempat saya kasus korupsi dan penggelapan dana Program indonesia pintar dri tahun kmrn sampe saat ini nihil dari proses hukum.. padahal berbagai upaya udah dilakukan.. mulai pengaduan tingkat polsek, polres, kejaksaan, staf bupati dan bahkan pengaduan ke kantor gubernur.. dari segi bukti2 sudah ada dan jelas..",0,2026-05-15T12:43:40Z
@refoultra,"Waduh bodoh + jahat.

semoga indo banyak evaluasi.",0,2026-05-11T11:56:50Z
@kazeharuna6302,"disinilah kita belajar bahwa sebagai warga masayarakat tanah air apabila kita bekerja jangan berharap apapun pada pemerintah takutnya malah dikasuskan, memang lebih baik bekerja apapun itu tapi tanpa sangkut paut dengan pemerintah agar hidup lebih tenang.",0,2026-05-04T00:21:10Z
@zulagh,"Hakim kalau jatuhkan hukuman bersalah , yg terlibat dgn peradilan itu kita doakan dia serta keluarganya akan di timpakan musibah yg berkali²: lipat kehinaan serta terpuruk dan dijauhi masyarakat kedepan . Makan terus hasil haram pak jaksa dan polisi sekalian . Cepat atau lambat karma anda semua akan tiba .",0,2026-05-02T04:53:55Z
@ekonurkhafid5329,Jaksa tolol,0,2026-04-30T15:03:55Z
@AyamHutanIndonesian,*SAYA MERASA MIRIS MELIHAT KASUS INI SEBAGAI KONTEN KREATOR KOTA LUBUKLINGGAU SUMATERA SELATAN INDONESIA* ✋🇮🇩,0,2026-04-27T06:43:11Z
@drssptn,Gelo atuh,0,2026-04-26T09:07:27Z
@AMA303_n3w,Udaaa...gak usah urusan bisnis sama pemerintah lah 😅,0,2026-04-25T23:51:59Z
@muhammadakmal4529,"Gw habis nonton film, jir ngeri banget KLO orang yg pinter dan punya kuasa tapi nihil hati nuraninya",0,2026-04-25T23:27:25Z
@Tangerang-q3k,Lanjutkan apresiasimu dengan baik n lugas ... Dont worry,0,2026-04-25T07:17:52Z
@buupyboopy9306,akar masalahnya ya si dongo bowo lah::memakai kejaksaan buat kekuasaan yg kena orang kecil,0,2026-04-25T06:29:10Z
